not good,kharab
not good,khrab
not good,maatho
not satisfied,ger mutmaen
not true,galt
not true,koor
not true,korr
not true,sach nahe
notorious,bdnaam
notorious,bdnam
notorious,budnam
notorious,khuwaar
notorious,khuwar
notorious,khuwari
notorious,khwar
notorous,badnaam
old,porho
old,purano
old,zaeef
older,waddo
oldest,sabh kha waddo
open minded,bedaar dimag
open minded,kushada dil
passionate,josh waro
passionate,purjosh
pessimist,mayousi pasand
place,jae
polite,ba ikhlaq
polite,ba-ikhlaq
powerful,takar waro
powerful,taqatwar
powerful,taqatwer
powerful,taqatwr
powerful,taqtwar
powerful,taqtwr
progress,tarakee
protest,ahtejaj
protest,ihtjaj
punctual,wqt jo paband
puntual,paaband
puntual,paband
quick,taiz
raise,wadhao
rebuke,malaamat
regular,paaband
remarkable,saarah jogo
remarkable,tareef laeq
remarkable,yaadgaar
responsible,zimedar
responsible,zimewaar
right,sahe
right,sahee
right,sahi
right,shee
rude,bdtameezee
rude,bdtameezi
rude,bdtamizee
rude,bdtamizi
rude,skht dil
satisfied,mutmaen
satisfied,mutmain
satisfied,prskoon
satisfied,pursukoon
satisfied,taskeen
satisfied,tskeen
shameful,khuwar
shameful,sharam waro
shameful,sharmnaak
shameful,zaleel
shameful,zillat waro
sick,beemaar
sick,beemar
sincere,sacho
sincere,scho
slow,aahiste
slow,dharo
slow,dhro
slow,sust
speedy,tez raftar
straightforward,sidho
strict,sakht
strict,sakht
strict,skht
stupid,bewakoofee
stupid,bewakoofi
stupid,Bewaqoof
stupid,bewaqoofi
stupid,bewkoofi
suitable,munasib
suitable,munasib
sweet,mitho
the best,behtreen
truthful,sachaar
un aware,bekhbr
un aware,magan
un aware,mast
un aware,mgn
un aware ,maggan
un aware ,mst
unfair,be insafo
unfair,beinsafo
unhappy,nakhush
unsatisfied,ger mutmaen
unwell,beemaar
unwell,beemar
use,istemaal
use,istemal
useful,faedemand
useful,faedemand
useful,faedo
useful,faedo
useful,faidemand
useful,mufeed
useless,bekaar
useless,bekar
useless,fuzol
useless,fuzool
useless,fzool
useless,ger mufeed
useless,nikamo
useless,nikmo
very,dadho
very,dadho
very,ziada
waste,dadho
waste,ziyan
waste,ziyan
waste,zyaan
waste,zyan
waste,ziyaan
weak,dubro
weak,kamzor
weak,kmzor
weak,nabal
weak,nbl
welfare,bhalae
welfare,bhlaee
worse,achho
worse,bdtar
worse,bdtr
worst,bdtreen
worst,wadhek khrab
wrong,galat
wrong,glt
wrong doings,bdkaaree
wrong doings,bdkaari
wrong doings,bdkaree
wrong doings,bdkari
wrong doings,glt karyoun
wrong doings,sabh kha khrab
zealous,josh waro
zealous,pur-josh
