,english_words,roman_sindhi_words,Senti_Score,Subjectivity,Sentiment
134,destroy,nass,-0.2,0.0,Negative
135,destroy,tabah,-0.2,0.0,Negative
136,destroy,taaraaj,-0.2,0.0,Negative
137,destroy,tbaah,-0.2,0.0,Negative
138,destroy,tbah,-0.2,0.0,Negative
139,destroy,weeran,-0.2,0.0,Negative
140,devoted,jaan nisar,0.0,0.0,Do Not Know
141,devoted,wqf,0.0,0.0,Do Not Know
142,dirty,gadlo,-0.6,0.8,Negative
143,dirty,gando,-0.6,0.8,Negative
144,dirty,gdlo,-0.6,0.8,Negative
145,dirty,gndo,-0.6,0.8,Negative
146,doubtful news,afwaah,-0.8,0.9,Negative
147,doubtful news,afwah,-0.8,0.9,Negative
148,doubtful news,afwah,-0.8,0.9,Negative
149,doubtful news,afwahan,-0.8,0.9,Negative
150,doubtful news,afwahn,-0.8,0.9,Negative
151,drawing room,bethak,0.0,0.0,Do Not Know
152,drawing room,ootak,0.0,0.0,Do Not Know
153,drawing room,ootakoo,0.0,0.0,Do Not Know
154,drawing room,ootakun,0.0,0.0,Do Not Know
155,drawing room,otaak,0.0,0.0,Do Not Know
156,easy,aasaan,0.433,0.833,Positive
157,easy,Aasaan,0.433,0.833,Positive
158,easy,Aasaan,0.433,0.833,Positive
159,easy,aasan,0.433,0.833,Positive
160,easy,aasan,0.433,0.833,Positive
161,easy,asaan,0.433,0.833,Positive
162,easy,savalo,0.433,0.833,Positive
163,easy,sawalo,0.433,0.833,Positive
164,easy,solo,0.433,0.833,Positive
165,easy,swalo,0.433,0.833,Positive
166,empty,khalee,-0.1,0.5,Negative
167,empty,khali,-0.1,0.5,Negative
168,empty,un-bharyal,-0.1,0.5,Negative
169,encouraging,himat-dendr,0.0,0.0,Do Not Know
170,encouraging,himath deendr,0.0,0.0,Do Not Know
171,encouraging,himthaen,0.0,0.0,Do Not Know
172,english_words,roman_sindhi_words,0.0,0.0,Do Not Know
173,enhance,tarakee,0.0,0.0,Do Not Know
174,enhance,trakee,0.0,0.0,Do Not Know
175,excellent,sabh kha sutho,1.0,1.0,Positive
176,fabulous,shaandaar,0.4,1.0,Positive
177,fabulous,shandaar,0.4,1.0,Positive
178,fabulous,shandar,0.4,1.0,Positive
179,fair,insaaf waro,0.7,0.9,Positive
180,fair,saaf suthro,0.7,0.9,Positive
181,famous,jattal-sunjatal,0.5,1.0,Positive
182,famous,mashahoor,0.5,1.0,Positive
183,famous,naami graami,0.5,1.0,Positive
184,fanatic,jnooni,-0.3,0.8,Negative
185,fanatic,junoni,-0.3,0.8,Negative
186,fanatic,junoonee,-0.3,0.8,Negative
187,fanatic,junooni,-0.3,0.8,Negative
188,fantastic,la jawab,0.4,0.9,Positive
189,fantastic,lajawaab,0.4,0.9,Positive
190,fantastic,la-jawab,0.4,0.9,Positive
191,fast,taiz,0.2,0.6,Positive
192,fast,tez,0.2,0.6,Positive
193,fast,tezz,0.2,0.6,Positive
194,filled,bhariyal,0.4,0.9,Positive
195,filled,bharyal,0.4,0.9,Positive
196,filled,bheryal,0.4,0.9,Positive
197,filled,bhryal,0.4,0.9,Positive
198,fine,sahee,0.417,0.5,Positive
199,fine,sahi,0.417,0.5,Positive
200,fine,theek,0.417,0.5,Positive
201,fine,theek thaak,0.417,0.5,Positive
202,fond,shokeen,0.0,0.0,Do Not Know
203,friendly,dostana,0.375,0.5,Positive
204,friendly,dostee waro,0.375,0.5,Positive
205,friendly,dosti waro,0.375,0.5,Positive
206,gain,wadhao,0.0,0.0,Do Not Know
207,generous,sakhee,0.0,0.0,Do Not Know
208,generous,sakhi,0.0,0.0,Do Not Know
209,generous,skhee,0.0,0.0,Do Not Know
210,generous,skhi,0.0,0.0,Do Not Know
211,gentle,maanwaro,0.2,0.8,Positive
212,gentle,maan-waro,0.2,0.8,Positive
213,gentle,moaziz,0.2,0.8,Positive
214,gentle,mohtram,0.2,0.8,Positive
215,glad,khush,0.5,1.0,Positive
216,glad,khushee,0.5,1.0,Positive
217,good,bhalai,0.7,0.6,Positive
218,good,bhalo,0.7,0.6,Positive
219,good,bhlo,0.7,0.6,Positive
220,good,chango,0.7,0.6,Positive
221,good,sutho,0.7,0.6,Positive
222,great,azeem,0.8,0.75,Positive
223,great,azim,0.8,0.75,Positive
224,great,wado,0.8,0.75,Positive
225,great,zabardast,0.8,0.75,Positive
226,great,zbrdast,0.8,0.75,Positive
227,great,zbrdst,0.8,0.75,Positive
228,half,adh,-0.167,0.167,Negative
229,half,adh,-0.167,0.167,Negative
230,handsome,haseen,0.5,1.0,Positive
231,handsome,suhno,0.5,1.0,Positive
232,happy,khush,0.8,1.0,Positive
233,happy,khush,0.8,1.0,Positive
234,happy,raahat,0.8,1.0,Positive
235,happy,raaht,0.8,1.0,Positive
236,hardworking,jakhoree,0.0,0.0,Do Not Know
237,hardworking,jakhori,0.0,0.0,Do Not Know
238,hardworking,mehnti,0.0,0.0,Do Not Know
239,hardworking,mhntee,0.0,0.0,Do Not Know
240,harsh,sakht,-0.2,0.7,Negative
241,harsh,sakhtgeer,-0.2,0.7,Negative
242,help,hathee,0.0,0.0,Do Not Know
243,help,hath-wandaen,0.0,0.0,Do Not Know
244,help,hthee,0.0,0.0,Do Not Know
245,help,madad,0.0,0.0,Do Not Know
246,help,mdad,0.0,0.0,Do Not Know
247,helping,mddgaar,0.0,0.0,Do Not Know
248,high,mathabharo,0.16,0.54,Positive
249,high,mathahein,0.16,0.54,Positive
250,high,mathe,0.16,0.54,Positive
251,honest,ameen,0.6,0.9,Positive
252,honest,amin,0.6,0.9,Positive
253,honest,eimandaar,0.6,0.9,Positive
254,honest,eimandar,0.6,0.9,Positive
255,honest,emandaar,0.6,0.9,Positive
256,honest,emandar,0.6,0.9,Positive
257,humbel,aajz,0.0,0.0,Do Not Know
258,humble,aajiz,-0.2,0.4,Negative
259,humble,aajzee waro,-0.2,0.4,Negative
